5.5025,7.6588,1.7423,28.122
7.1989,2.6779,5.5698,56.346
4.6604,5.2301,1.4553,21.15
0.8523,9.6289,1.5342,-8.0502
4.8552,6.6116,6.193,21.817
3.2568,7.3299,4.5422,6.5336
9.6723,3.4972,4.0386,99.728
6.0198,8.6446,7.1624,33.613
5.5793,5.902,2.9953,30.806
8.1757,1.387,8.574,73.631
4.5662,4.7932,1.025,20.624
9.4914,4.4905,0.73766,95.087
8.328,4.1024,8.9411,73.581
7.2586,0.71938,6.684,59.227
7.8153,2.8642,3.9364,66.029
7.4965,6.701,5.4044,56.993
3.8797,0.69993,3.3126,18.232
7.3814,4.7489,7.9222,57.117
3.7146,5.167,0.74342,12.346
4.2722,0.7311,1.5959,21.793
8.5777,6.1138,9.4173,76.04
6.8978,4.6201,9.4611,49.858
9.0443,5.9025,8.9716,84.942
7.983,7.6811,9.7499,64.03
9.6553,9.572,6.5182,93.308
3.5686,1.346,8.2725,14.957
9.9207,3.908,2.9393,104.43
4.6366,5.669,4.0584,20.465
8.0994,2.2762,5.5593,71.424
1.5525,1.3402,9.4294,2.6225
8.5022,2.8636,2.327,77.927
6.6429,6.0583,1.0369,44.713
0.94591,1.6077,4.889,0.23293
3.0442,3.82,4.9795,8.4911
4.4964,7.2376,0.55041,17.476
5.3464,5.591,0.93065,28.34
1.8321,8.4927,1.0791,-3.3041
0.00010854,6.2092,6.0459,-6.209
3.8091,8.2451,3.0964,10.073
4.6786,8.1516,6.1008,18.417
6.6677,9.8077,8.8724,41.319
0.8153,0.55291,0.25287,0.92711
5.3746,4.7384,6.7902,29.522
4.4846,0.62454,9.4983,23.971
2.7755,2.9668,0.35366,7.5121
2.9129,3.2234,2.6066,8.1747
7.4305,8.8171,6.9522,53.827
5.0611,7.8726,8.6452,22.803
9.3272,5.8974,2.7756,90.427
4.2639,0.84998,5.3926,21.595
0.1072,5.8087,3.0798,-5.69
9.4272,8.594,4.1177,89.706
0.91169,9.8542,9.2487,-8.1114
1.5743,6.5496,6.6452,-2.4969
2.8849,7.3584,5.5034,3.8492
5.818,7.023,8.1103,32.644
8.7567,6.2283,7.5552,79.209
8.1184,6.4474,2.37,67.579
1.6929,3.6394,8.1441,0.91947
4.7947,9.4081,7.432,18.376
2.823,2.174,7.7935,8.6185
0.71281,3.2183,8.1239,-1.9973
6.8032,6.3867,0.82778,46.7
4.5002,1.8589,6.2361,22.893
1.0541,8.1785,5.3899,-6.0134
9.6198,7.9383,3.0214,94.222
6.0918,8.5961,3.2784,34.606
2.1758,9.5432,6.3751,-2.6331
2.3592,6.4179,2.4042,1.5073
9.3085,4.9106,1.1375,91.046
1.7493,2.6206,2.3646,2.1888
4.9199,5.5967,5.5161,23.529
4.0505,8.939,2.6961,11.518
7.2971,5.714,1.0526,54.83
7.9899,4.45,2.5642,67.379
6.6464,5.2872,4.2176,45.534
2.8806,9.9307,6.1629,1.2477
5.1967,3.1222,5.2159,29.08
6.2471,9.3294,5.7722,35.944
8.5384,6.6987,0.8839,74.744
4.8623,6.8245,7.2306,21.68
5.9773,8.5068,1.4192,33.199
3.2141,4.5792,1.3296,8.9655
1.3928,3.7286,2.9808,-0.39588
5.6044,0.64896,0.3748,36.364
3.8251,8.8516,3.4649,9.6046
7.1191,5.8764,9.5766,51.924
1.5377,8.8562,3.1755,-4.9539
0.61806,9.5958,9.3061,-8.5958
7.7863,6.8532,0.12041,61.559
5.887,1.8975,2.6834,38.646
5.2166,4.3837,2.8715,28.046
